source_id,breed_id,breed_name,species,source_name,source_url,source_page_url,license,license_url,author,local_filename,local_path,download_status,error_message
SRC_CAT_AMRITMAHAL_0001,cow_amritmahal,Amritmahal,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/0/04/Ajjampura_cattle_breeding_staion.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AAjjampura%20cattle%20breeding%20staion.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Shyamal L.,amritmahal_0001.jpg,raw\cattle\amritmahal\amritmahal_0001.jpg,EXISTING,
SRC_CAT_AMRITMAHAL_0002,cow_amritmahal,Amritmahal,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/4/46/AmritMahal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AAmritMahal.jpg,Public domain,,"Photographer unknown, Indian government",amritmahal_0002.jpg,raw\cattle\amritmahal\amritmahal_0002.jpg,EXISTING,
SRC_CAT_BARGUR_0001,cow_bargur,Bargur,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bargur%2C_Krishnagiri_Hills.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ABargur%2C%20Krishnagiri%20Hills.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Saravankm,bargur_0001.jpg,raw\cattle\bargur\bargur_0001.jpg,EXISTING,
SRC_CAT_BARGUR_0002,cow_bargur,Bargur,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/6/67/BargurEng.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ABargurEng.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Immanueldc,bargur_0002.jpg,raw\cattle\bargur\bargur_0002.jpg,EXISTING,
SRC_CAT_BARGUR_0003,cow_bargur,Bargur,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/3/3f/Bargur_Road.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ABargur%20Road.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ssanthosh555,bargur_0003.jpg,raw\cattle\bargur\bargur_0003.jpg,EXISTING,
SRC_CAT_BARGUR_0004,cow_bargur,Bargur,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/d/d5/Railroad%2Cbargur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ARailroad%2Cbargur.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Nandhiniraji,bargur_0004.jpg,raw\cattle\bargur\bargur_0004.jpg,EXISTING,
SRC_CAT_BARGUR_0005,cow_bargur,Bargur,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/2/2f/Suda_bargur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ASuda%20bargur.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Kruthika H H,bargur_0005.jpg,raw\cattle\bargur\bargur_0005.jpg,EXISTING,
SRC_CAT_DANGI_0001,cow_dangi,Dangi,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/a/ad/Chandra_Bahadur_Dangi_in_Sydney.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AChandra%20Bahadur%20Dangi%20in%20Sydney.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Ashishlohorung,dangi_0001.jpg,raw\cattle\dangi\dangi_0001.jpg,EXISTING,
SRC_CAT_DANGI_0002,cow_dangi,Dangi,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/c/cf/Dangi-canyon.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADangi-canyon.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Oldnewleftist,dangi_0002.jpg,raw\cattle\dangi\dangi_0002.jpg,EXISTING,
SRC_CAT_DANGI_0003,cow_dangi,Dangi,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/2/20/Dangi_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADangi%2001.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,dangi_0003.jpg,raw\cattle\dangi\dangi_0003.jpg,EXISTING,
SRC_CAT_DANGI_0004,cow_dangi,Dangi,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/5/59/Dangi_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADangi%2002.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,dangi_0004.jpg,raw\cattle\dangi\dangi_0004.jpg,EXISTING,
SRC_CAT_DANGI_0005,cow_dangi,Dangi,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/8/82/We-are-jatts-we-break-bones-not-hearts-.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AWe-are-jatts-we-break-bones-not-hearts-.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"DANGI JAT""S CLAN",dangi_0005.jpg,raw\cattle\dangi\dangi_0005.jpg,EXISTING,
SRC_CAT_DEONI_0001,cow_deoni,Deoni,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/1/1d/Deoni_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADeoni%2001.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,deoni_0001.jpg,raw\cattle\deoni\deoni_0001.jpg,EXISTING,
SRC_CAT_DEONI_0002,cow_deoni,Deoni,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/3/32/Deoni_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADeoni%2002.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,deoni_0002.jpg,raw\cattle\deoni\deoni_0002.jpg,EXISTING,
SRC_CAT_DEONI_0003,cow_deoni,Deoni,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/5/55/Natalis_Comitis_Mythologiae_sive_Explicationis_fabvlarvm_libri_decem%2C_in_qvibvs_omnia_prope_natvralis_et_moralis_philosophi%C3%A6_dogmata_in_veterum_fabulis_contenta_fuisse_perspicu%C3%A8_demonstratur_%281616%29_%2814565308969%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ANatalis%20Comitis%20Mythologiae%20sive%20Explicationis%20fabvlarvm%20libri%20decem%2C%20in%20qvibvs%20omnia%20prope%20natvralis%20et%20moralis%20philosophi%C3%A6%20dogmata%20in%20veterum%20fabulis%20contenta%20fuisse%20perspicu%C3%A8%20demonstratur%20%281616%29%20%2814565308969%29.jpg,No restrictions,https://www.flickr.com/commons/usage/,Internet Archive Book Images,deoni_0003.jpg,raw\cattle\deoni\deoni_0003.jpg,EXISTING,
SRC_CAT_GAOLAO_0001,cow_gaolao,Gaolao,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/8/89/Gaolao_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AGaolao%2001.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,gaolao_0001.jpg,raw\cattle\gaolao\gaolao_0001.jpg,EXISTING,
SRC_CAT_GAOLAO_0002,cow_gaolao,Gaolao,cattle,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/5/56/Gaolao_02.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AGaolao%2002.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Pavanaja,gaolao_0002.jpg,raw\cattle\gaolao\gaolao_0002.jpg,EXISTING,
