epoch,stage,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,is_best
1,1,2.80377674732495,0.6160097521332791,3.4156884465898787,0.2857142857142857,0.14889249639249638,0.001,True
2,1,1.4211029468247292,0.9093864282811865,2.9930465789068315,0.38095238095238093,0.26552412234230416,0.001,True
3,1,1.1888830388575635,0.9382364892320195,2.8580940110342845,0.40476190476190477,0.2644139810806478,0.001,True
4,1,1.0805792228229063,0.9626168224299065,2.749233881632487,0.4523809523809524,0.3008314436885865,0.001,True
5,1,1.0308096195952963,0.9662738724095896,2.751671302886236,0.4523809523809524,0.3135628599043233,0.001,True
6,1,0.9907617514233239,0.9788703778951645,2.761587869553339,0.42857142857142855,0.2970704092655312,0.001,False
7,1,0.9546995085945269,0.9813084112149533,2.7298250879560197,0.47619047619047616,0.3307614865754401,0.001,True
8,1,0.9392577898255309,0.9845591223080049,2.7608922322591147,0.4523809523809524,0.30220652363509504,0.001,False
9,1,0.9230388011548734,0.9902478667208452,2.764563810257685,0.47619047619047616,0.33359242383632626,0.001,True
10,1,0.9058734696844349,0.9902478667208452,2.7586147898719426,0.4642857142857143,0.3020012507817386,0.001,False
11,2,0.8854430958489391,0.9926859000406338,2.7399957066490535,0.4642857142857143,0.33607016289943115,9.140576474687264e-05,False
12,2,0.8447701612026505,0.9979683055668428,2.761003698621477,0.5,0.3323081680224537,6.890576474687263e-05,True
13,2,0.8333365495056702,0.9987809833401057,2.717442285446894,0.47619047619047616,0.3104269714025812,4.1094235253127366e-05,False
14,2,0.8223106040551574,0.9991873222267371,2.737907341548375,0.5238095238095238,0.3722776545947278,1.8594235253127368e-05,True
15,2,0.8188976213148288,1.0,2.722675051007952,0.4880952380952381,0.31521703229020304,1e-05,False
