epoch,stage,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,is_best
1,1,4.111819172404823,0.1099476439790576,3.7078098569597517,0.23809523809523808,0.09030501089324619,0.001,True
2,1,3.4633930029045223,0.3089005235602094,3.426217306227911,0.34523809523809523,0.1719805381928768,0.001,True
3,1,3.0169469998144978,0.46335078534031415,3.2126889001755488,0.39285714285714285,0.22542472273462233,0.001,True
4,1,2.732371272841049,0.5,3.091035797482445,0.4166666666666667,0.25262157611323205,0.001,True
5,1,2.427676745110157,0.5916230366492147,2.964444955190023,0.42857142857142855,0.27137049941927993,0.001,True
6,1,2.2455567040368525,0.6413612565445026,2.8839895044054304,0.4166666666666667,0.26006757470172104,0.001,False
7,1,2.0521011914258227,0.7329842931937173,2.8214222363063266,0.4166666666666667,0.2624172575392087,0.001,False
8,1,1.8711995566702637,0.7722513089005235,2.7962596189408075,0.42857142857142855,0.27011931158272623,0.001,True
9,1,1.753065817019078,0.806282722513089,2.781608468010312,0.42857142857142855,0.26772830344258913,0.001,True
10,1,1.6474187992006073,0.8586387434554974,2.7576531796228316,0.4166666666666667,0.2655075083646512,0.001,False
11,2,1.6268606185913086,0.8115183246073299,2.6768573352268765,0.5,0.29883529169243456,9.05463412215599e-05,True
12,2,1.3864059279726437,0.9083769633507853,2.6670544033958796,0.47619047619047616,0.29490311276025566,6.57963412215599e-05,False
13,2,1.3117115859585906,0.9267015706806283,2.660511947813488,0.47619047619047616,0.30308412295499815,3.52036587784401e-05,False
14,2,1.2268940778302897,0.9424083769633508,2.6436634404318675,0.4642857142857143,0.29219272790701367,1.0453658778440105e-05,False
15,2,1.1748071640573872,0.9607329842931938,2.633885304133097,0.47619047619047616,0.3081304873987801,1e-06,False
