image_id,breed_id,breed_name,species,split,relative_path,sha256,computed_sha256,computed_md5,file_size_bytes
BUF_BUFFALO_BANNI_0001,buffalo_banni,Banni,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_banni/banni_0001.jpg,638681a013197e9fedc3e0b6d432818c3b49104a3427db6c24c832e790360738,638681a013197e9fedc3e0b6d432818c3b49104a3427db6c24c832e790360738,dd9e29adc1253655801dc2a48d37bec8,146114
BUF_BUFFALO_BARGUR_0001,buffalo_bargur,Bargur,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0001.jpg,4cf82453815c118b09b65bdb9ecbcde4dea0c4bad6272f1998c598e49e275178,4cf82453815c118b09b65bdb9ecbcde4dea0c4bad6272f1998c598e49e275178,fc435e831d008a2ce0bac4da43f9e941,172813
BUF_BUFFALO_BARGUR_0002,buffalo_bargur,Bargur,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0002.jpg,4432e52c80dceea916b0ff96ea6d3d2844ff535138b456606d6eb98aa1f439f7,4432e52c80dceea916b0ff96ea6d3d2844ff535138b456606d6eb98aa1f439f7,fc1608254a52bf6933c92df5c062c3d9,171266
BUF_BUFFALO_BARGUR_0007,buffalo_bargur,Bargur,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0007.jpg,83dc10e330409b8d69f1943fcfa16729c66385364928bc562cf4046b2a3980a3,83dc10e330409b8d69f1943fcfa16729c66385364928bc562cf4046b2a3980a3,eb1fdb31ac709b3b9016101093ce63df,18207
BUF_BUFFALO_BARGUR_0004,buffalo_bargur,Bargur,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_bargur/bargur_0004.jpg,15d220e60d6691a5e8a6693d19b90835b80e6490d2c96c52ee9ed6899c2d7f39,15d220e60d6691a5e8a6693d19b90835b80e6490d2c96c52ee9ed6899c2d7f39,8e896360dc80ff62b617520bd9338d12,649068
BUF_BUFFALO_BHADAWARI_0002,buffalo_bhadawari,Bhadawari,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_bhadawari/bhadawari_0002.jpg,d5b390a20390bdb95eff275542625be87f6928becff19cf1c3df24fde4fa2f4d,d5b390a20390bdb95eff275542625be87f6928becff19cf1c3df24fde4fa2f4d,0e5bfd216101fdf8df837b191dc4ad6b,124941
BUF_BUFFALO_CHHATTISGARHI_0002,buffalo_chhattisgarhi,Chhattisgarhi,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_chhattisgarhi/chhattisgarhi_0002.jpg,bd40473a741a29400cdea63baf92300048b9a268c4d0afbd722bb102eeeb2526,bd40473a741a29400cdea63baf92300048b9a268c4d0afbd722bb102eeeb2526,1d36cda16f4ca4981513850ceeed6dd3,182489
BUF_BUFFALO_CHILIKA_0002,buffalo_chilika,Chilika,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_chilika/chilika_0002.jpg,503ec558d8eaf19a45cea1dbc86b171bbf7ddf49f3a96de559fd110b6612aac8,503ec558d8eaf19a45cea1dbc86b171bbf7ddf49f3a96de559fd110b6612aac8,4f1e840cfef97dc46d99e7d48ecd6dbc,177130
BUF_BUFFALO_DHARWADI_0002,buffalo_dharwadi,Dharwadi,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_dharwadi/dharwadi_0002.jpg,5d21dd8813ea2c35cd488a3213978eb0ef970b3c7838f463fd19d138386ff387,5d21dd8813ea2c35cd488a3213978eb0ef970b3c7838f463fd19d138386ff387,b4e13cf3b2de65314ebc6f6c8542cb21,181675
BUF_BUFFALO_GOJRI_0002,buffalo_gojri,Gojri,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_gojri/gojri_0002.jpg,4cc95c53cad507e03a9ff9939ec17aef64fd9a079638c468ca56ee0c4be86735,4cc95c53cad507e03a9ff9939ec17aef64fd9a079638c468ca56ee0c4be86735,0107d7b0defeb3ab1bf99ccb860f30bb,191629
BUF_BUFFALO_GOMANCHALI_0001,buffalo_gomanchali,Gomanchali,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_gomanchali/gomanchali_0001.jpg,4d8446f95adb835e5993e6263ffe3f4277c6cac7cd3e0ec13b2bc4c0071777a3,4d8446f95adb835e5993e6263ffe3f4277c6cac7cd3e0ec13b2bc4c0071777a3,5e2867be551329c2cec0ea844d8735b4,336805
BUF_BUFFALO_JAFFARABADI_0002,buffalo_jaffarabadi,Jaffarabadi,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_jaffarabadi/jaffarabadi_0002.jpg,392d855bd73c2a59687cdd5c3a3fdc7fb8aeaf2a7a06066353c2eaa366810211,392d855bd73c2a59687cdd5c3a3fdc7fb8aeaf2a7a06066353c2eaa366810211,979427d9fafc26caa6f5c7864a3ff10e,1216478
BUF_BUFFALO_KALAHANDI_0002,buffalo_kalahandi,Kalahandi,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_kalahandi/kalahandi_0002.jpg,440868f7a04cc50b81b666bfed32754646543c1084faa2e4b0afc017c089a55d,440868f7a04cc50b81b666bfed32754646543c1084faa2e4b0afc017c089a55d,c5b31a6d85b051188c567badd0b5a743,184223
BUF_BUFFALO_LUIT_SWAMP_0002,buffalo_luit_swamp,Luit (Swamp),buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_luit_swamp/luit_swamp_0002.jpg,cce8fd5ce311fd45e6362a2948da42eedf3fff53e91a68a6c320f47b5aca4011,cce8fd5ce311fd45e6362a2948da42eedf3fff53e91a68a6c320f47b5aca4011,8246ffd4e44dd747e895aaa3a30c140a,157329
BUF_BUFFALO_MANAH_0002,buffalo_manah,Manah,buffalo,train,dataset/expanded_82_breeds_v2/buffalo/buffalo_manah/manah_0002.jpg,01976fa4fa2db3ccdc5cbf0185a2e12715a5fe691914703629f9d3e035538426,01976fa4fa2db3ccdc5cbf0185a2e12715a5fe691914703629f9d3e035538426,7456dc3b00436243749243729f0ee6b9,86608
